,PC1,PC2
Length,0.7648035180121348,0.6515699555618583
Rating,0.7659832803665108,-0.6506210317574458
Auth__Albert Einstein,-0.03145779336206435,0.0009608642793633102
Auth__Dr. Seuss,-0.006352677450475389,0.006466885681437181
Auth__J.K. Rowling,0.013507071504383098,0.006001465275343253
Auth__Marilyn Monroe,0.023875094528060962,-0.04043696723635735
Auth__Mark Twain,-0.044318541021222145,0.0023689435598406882
Auth__Other,0.044746845801317776,0.024638808440372983
